payment_type,day_of_year,count_of_transactions,transaction_amounts_sum
1,296,316109,4828994.78
1,297,321695,4889005.3599999966
1,298,313182,4406597.9499999974
1,299,276880,4179463.8300000005
1,300,257024,3853510.120000001
1,301,279637,4155793.8599999989
1,302,300077,4411558.3299999991
1,303,312682,4778123.7600000016
1,304,323830,4828217.1299999962
1,305,354351,4869674.4399999985
1,306,277032,4028199.1999999983
1,307,259929,3962408.2899999996
1,308,274107,3993030.5299999984
1,309,299637,4506972.9299999988
1,310,318387,4809130.2700000014
1,311,318473,4934142.459999999
1,312,328533,4616468.5799999973
1,313,284327,4212684.7299999977
1,314,260612,3916872.0299999979
1,315,263613,3939082.0499999993
1,316,299470,4493300.53
1,317,315676,4819276.0500000017
1,318,330151,4967320.97
1,319,328822,4610674.9399999995
1,320,288314,4265398.1899999985
1,321,264280,3979357.7300000009
1,322,306947,4522229.0300000021
1,323,310627,4683192.3199999984
1,324,305795,4722781.5500000017
1,325,332048,4983388.82
1,326,332988,4571743.52
1,327,274520,3899561.9499999997
1,328,252478,3590803.0700000003
1,329,264913,4093512.9299999992
1,330,264269,3771891.7899999991
1,331,166046,2424596.9199999995
1,332,182949,2401861.7999999975
1,333,221538,3138539.97
1,334,226166,3556380.3099999996
1,335,255506,4041739.0599999996
1,336,292923,4342857.9799999995
1,337,294392,4499253.57
1,338,306936,4770824.0799999973
1,339,329066,4937622.1000000015
1,340,329100,4555673.5100000016
1,341,297963,4339293.4600000037
1,342,280017,4226383.7599999979
1,343,297797,4408429.4400000013
1,344,307234,4724242.669999999
1,345,323206,5140227.7500000019
1,346,335764,5264311.2500000019
1,347,328202,4737955.9799999977
1,348,287111,4267804.0900000008
1,349,267296,4052092.9600000014
1,350,295613,4358293.3299999973
1,351,308926,4636306.6999999965
1,352,329205,5045264.9700000007
1,353,340165,5154664.2999999989
1,354,314032,4464759.3999999985
1,355,258789,3684207.7000000016
1,356,228878,3279374.71
1,357,228869,3309562.6200000006
1,358,190524,2598133.3700000015
1,359,102007,1511968.3300000003
1,360,135531,1978502.6100000008
1,361,160965,2409665.7199999997
1,362,170693,2656263.3000000017
1,363,178887,2632448.0100000016
1,364,206931,2970313.2399999979
1,365,232003,3083708.3699999982
2,1,246606,3167011.0600000005
2,2,199483,2391052.43
2,3,149695,1870215.6600000015
2,4,214867,2541394.8000000017
2,5,191050,2302745.1199999996
2,6,187914,2274555.4199999995
2,7,208541,2383126.2399999998
2,8,210085,2426566.4500000007
2,9,211300,2487019.4800000014
2,10,227533,2700397.4100000011
2,11,238618,2689267.9600000009
2,12,206038,2465146.1800000006
2,13,188177,2188256.5200000009
2,14,195013,2276982.0999999996
2,15,198762,2378662.3000000012
2,16,204856,2447100.9300000011
2,17,220744,2688686.3899999997
2,18,249092,2825201.0299999984
2,19,221372,2580597.9900000012
2,20,175526,2062128.2500000012
2,21,119532,1540293.3099999987
2,22,163119,1920355.39
2,23,198822,2495894.07
2,24,226173,2750166.2399999993
2,25,247823,2774091.7500000005
2,26,206664,2429151.5300000017
2,27,185178,2151674.870000001
2,28,198190,2279555.8499999992
2,29,200369,2340239.1199999996
2,30,208745,2506412.7500000005
2,31,232949,2838505.9799999986
2,32,250627,2939895.1500000008
2,33,211691,2495062.8399999989
2,34,175062,2077677.9600000009
2,35,196134,2334966.7400000007
2,36,173979,2018512.9400000002
2,37,203563,2542165.59
2,38,227581,2831312.4800000004
2,39,258418,2965848.2299999991
2,40,213352,2506787.44
2,41,193899,2287561.6700000018
2,42,211329,2493852.0799999991
2,43,209634,2544253.7099999995
2,44,142770,1628166.3399999996
2,45,220895,2822078.8599999994
2,46,248563,2905792.25
2,47,226883,2673321.2099999981
2,48,189645,2221546.6700000013
2,49,187302,2235158.9600000028
2,50,196746,2463884.4199999995
2,51,207519,2610639.0400000005
2,52,225453,2746923.0600000005
2,53,253716,3044649.5399999986
2,54,211885,2627923.4700000011
2,55,200505,2371924.3800000004
2,56,205496,2400828.5200000023
2,57,210788,2483358.6500000013
2,58,222664,2667108.83
2,59,251893,3045148.6699999981
2,60,270475,3195467.4699999979
2,61,220055,2670930.4099999992
2,62,213313,2398083.3000000031
2,63,220248,2572126.0599999991
2,64,221819,2648426.4100000006
2,65,233938,2834588.5400000005
2,66,252161,3085907.1100000003
2,67,274180,3288826.4700000039
2,68,234758,2913016.18
2,69,206449,2483524.7100000028
2,70,206168,2487891.3700000024
2,71,212377,2567919.0500000007
2,72,241196,2832236.4200000004
2,73,247224,3037538.7599999993
2,74,273453,3279835.9899999988
2,75,239129,2921951.9700000025
2,76,206419,2525887.8800000004
2,77,210549,2527256.6900000041
2,78,217677,2601190.72
2,79,218825,2725573.85
2,80,238047,2973187.2899999977
2,81,266832,3219156.9099999978
2,82,234619,2899708.9199999995
2,83,206230,2466436.7399999984
2,84,202338,2404890.3400000003
2,85,220180,2601603.6999999988
2,86,221507,2744182.2399999988
2,87,239793,2989382.5100000012
2,88,284676,3306855.6100000013
2,89,223044,2766170.8400000012
2,90,199133,2456989.7100000023
2,91,206713,2501152.0399999996
2,92,210862,2579347.91
2,93,222987,2778852.77
2,94,251225,3086935.7600000002
2,95,271563,3289470.0499999975
2,96,234815,2944709.7999999993
2,97,214274,2580369.85
2,98,207375,2521301.0000000005
2,99,214903,2646423.4400000013
2,100,220918,2809397.7900000005
2,101,236677,3036325.9199999976
2,102,274920,3374046.8999999994
2,103,241061,3023932.7900000014
2,104,210622,2637630.7899999986
2,105,225806,2709018.5100000016
2,106,228430,2856968.6599999997
2,107,236010,3050695.9800000014
2,108,255412,3155545.3899999987
2,109,262219,3167186.4499999974
2,110,229418,2894931.08
2,111,204853,2564257.4000000004
2,112,210865,2622139.1100000008
2,113,223414,2801163.9299999983
2,114,224568,2929613.0600000005
2,115,245676,3157293.5199999996
2,116,270168,3341635.3900000015
2,117,232759,3000128.1499999985
2,118,202428,2540319.3499999996
2,119,214061,2616529.8099999996
2,120,226547,2867052.1699999967
2,121,220977,2881416.9199999985
2,122,247441,3292333.0599999987
2,123,277788,3461519.6100000013
2,124,238989,3041349.3299999996
2,125,215522,2739601.71
2,126,217388,2732435.0299999993
2,127,214916,2773151.75
2,128,223661,2898686.7999999975
2,129,241732,3093662.149999998
2,130,266170,3279387.87
2,131,235700,3045442.7899999996
2,132,204247,2609163.1399999978
2,133,210377,2648795.04
2,134,205466,2694967.7300000014
2,135,217535,2872655.5900000017
2,136,240834,3137732.8100000005
2,137,256134,3331301.5300000003
2,138,237809,3120432.4899999984
2,139,214121,2753758.01
2,140,214413,2808843.5300000003
2,141,216485,2840551.4600000009
2,142,220036,2924184.0300000003
2,143,244255,3136125.69
2,144,233761,2919797.7299999991
2,145,217454,2768564.8000000007
2,146,178350,2309673.3000000003
2,147,204749,2606566.71
2,148,214057,2790131.0000000005
2,149,219805,2865402.5000000009
2,150,237602,3074714.8400000003
2,151,262388,3269798.8399999985
2,152,219014,2970793.3099999996
2,153,200564,2561729.0400000019
2,154,209770,2633261.9899999993
2,155,211623,2685161.0299999993
2,156,220366,2843903.6299999976
2,157,236591,3127810.3599999989
2,158,264157,3283911.6100000003
2,159,223981,2938620.8299999977
2,160,203430,2613910.12
2,161,206243,2618240.620000001
2,162,207477,2673751.6900000004
2,163,217470,2826199.9900000007
2,164,230180,2944770.2100000018
2,165,251532,3118777.1399999983
2,166,214731,2771798.5800000015
2,167,197677,2514869.26
2,168,204204,2592390.7200000007
2,169,210590,2689284.589999998
2,170,216206,2826678.2499999977
2,171,228791,2982666.8700000006
2,172,245133,3084836.2300000014
2,173,217056,2820231.26
2,174,196091,2499293.3499999973
2,175,198755,2509552.0999999987
2,176,207765,2651522.6500000032
2,177,213831,2799433.9799999995
2,178,220059,2923563.9599999967
2,179,241298,3035046.2700000033
2,180,206235,2713875.01
2,181,197106,2512923.55
2,182,205638,2542717.0600000005
2,183,204885,2566419.7499999972
2,184,205989,2612248.7199999974
2,185,174142,2160663.2700000009
2,186,187612,2321965.689999999
2,187,173211,2235288.3500000006
2,188,184995,2310668.4699999979
2,189,199495,2441481.6799999992
2,190,199606,2508925.65
2,191,200077,2549017.6899999981
2,192,213479,2743669.2400000026
2,193,231096,2846437.9800000004
2,194,204690,2564323.54
2,195,195212,2419572.9399999981
2,196,195005,2454437.5300000003
2,197,194830,2511284.6399999997
2,198,200603,2621360.5199999977
2,199,214038,2867680.1100000017
2,200,230183,2837239.3299999996
2,201,201702,2583978.9300000006
2,202,187646,2398608.4800000009
2,203,200408,2540391.0200000019
2,204,206237,2616569.7699999996
2,205,200152,2614602.1399999987
